product_name,product_brand,actual_price,selling_price,product_link
Men Dyed Casual Mandarin Shirt,Pepe Jeans,"₹2,199","₹1,319",flipkart.com/pepe-jeans-men-dyed-casual-white-blue-shirt/p/itmfhhsdhryzg7su?pid=SHTFG8AXVRX8W97P&lid=LSTSHTFG8AXVRX8W97P03WG48&marketplace=FLIPKART&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_435appBZSQN0wtRd%2FkReEEreo%2F786DSdW%2BcEGJ%2FrIrq0KodB33TCXSma4ndM1C7%2BzOYtxm462jxbf4ExRtn6MQ%3D%3D&ssid=iww2ro5g9c0000001591425131571&qH=c898b17e35b9f66c
Men Self Design Casual Button Down Shirt,IndoPrimo,₹999,₹649,flipkart.com/indoprimo-men-self-design-casual-red-shirt/p/itm4003310f92991?pid=SHTFNAD5HVHV89T7&lid=LSTSHTFNAD5HVHV89T7BNMQIQ&marketplace=FLIPKART&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=en_435appBZSQN0wtRd%2FkReEEreo%2F786DSdW%2BcEGJ%2FrIroHOte0DjQMPn00fuVDv4xDXtLsnoaZranv969kdoBKAA%3D%3D&ssid=iww2ro5g9c0000001591425131571&qH=c898b17e35b9f66c
Men Checkered Casual Hood Shirt,Highlander,₹999,"₹1,449",flipkart.com/highlander-men-checkered-casual-multicolor-shirt/p/itmfeyfszgz9cjmt?pid=SHTFEYEFNQPKKHNN&lid=LSTSHTFEYEFNQPKKHNN9NNGMZ&marketplace=FLIPKART&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=f5762346-75d6-4ad9-a00c-c47c7a3cfadd.SHTFEYEFNQPKKHNN.SEARCH&ssid=iww2ro5g9c0000001591425131571&qH=c898b17e35b9f66c
Men Solid Casual Mandarin Shirt,Highlander,"₹1,399",₹519,flipkart.com/highlander-men-solid-casual-blue-shirt/p/itmfdfd8u3ee7vye?pid=SHTF4E37G2T2PZ7Q&lid=LSTSHTF4E37G2T2PZ7QPCGKEQ&marketplace=FLIPKART&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=f5762346-75d6-4ad9-a00c-c47c7a3cfadd.SHTF4E37G2T2PZ7Q.SEARCH&ssid=iww2ro5g9c0000001591425131571&qH=c898b17e35b9f66c
Men Color Block Casual Shirt,Tripr,"₹1,499",₹589,flipkart.com/tripr-men-color-block-casual-white-black-shirt/p/itmf8sesayjs6hvu?pid=SHTF8S55WJPFZ2XN&lid=LSTSHTF8S55WJPFZ2XNDPG8F7&marketplace=FLIPKART&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=f5762346-75d6-4ad9-a00c-c47c7a3cfadd.SHTF8S55WJPFZ2XN.SEARCH&ssid=iww2ro5g9c0000001591425131571&qH=c898b17e35b9f66c
Men Striped Party Mandarin Shirt,FUBAR,₹899,₹567,flipkart.com/fubar-men-striped-party-maroon-shirt/p/itm2273aa6b645c3?pid=SHTFD6STM98YVN3S&lid=LSTSHTFD6STM98YVN3S0NMWQB&marketplace=FLIPKART&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=f5762346-75d6-4ad9-a00c-c47c7a3cfadd.SHTFD6STM98YVN3S.SEARCH&ssid=iww2ro5g9c0000001591425131571&qH=c898b17e35b9f66c
Men Military Camouflage Casual Spread Shirt,Highlander,"₹1,299","₹1,399",flipkart.com/highlander-men-military-camouflage-casual-green-shirt/p/itmffdmdhpx8geb5?pid=SHTFFDKYFXRC3KZ2&lid=LSTSHTFFDKYFXRC3KZ2NZQXZ7&marketplace=FLIPKART&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=f5762346-75d6-4ad9-a00c-c47c7a3cfadd.SHTFFDKYFXRC3KZ2.SEARCH&ssid=iww2ro5g9c0000001591425131571&qH=c898b17e35b9f66c
Men Solid Casual Shirt,GESPO,"₹1,299",₹449,flipkart.com/gespo-men-solid-casual-black-shirt/p/itm7940ed870e59f?pid=SHTFNSFBKN7FX3A8&lid=LSTSHTFNSFBKN7FX3A8HK9LHF&marketplace=FLIPKART&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=f5762346-75d6-4ad9-a00c-c47c7a3cfadd.SHTFNSFBKN7FX3A8.SEARCH&ssid=iww2ro5g9c0000001591425131571&qH=c898b17e35b9f66c
Men Solid Casual Spread Shirt,Zombom,"₹1,099",₹660,flipkart.com/zombom-men-solid-casual-blue-shirt/p/itmf3x6qpuefpa3u?pid=SHTF36WBSHDJDDVP&lid=LSTSHTF36WBSHDJDDVP5MABH2&marketplace=FLIPKART&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=f5762346-75d6-4ad9-a00c-c47c7a3cfadd.SHTF36WBSHDJDDVP.SEARCH&ssid=iww2ro5g9c0000001591425131571&qH=c898b17e35b9f66c
Men Checkered Casual Cut Away Shirt,Highlander,₹999,₹584,flipkart.com/highlander-men-checkered-casual-multicolor-shirt/p/itmfdbenh7dm575h?pid=SHTFDBEMPBM93VT5&lid=LSTSHTFDBEMPBM93VT5RPFOUU&marketplace=FLIPKART&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=f5762346-75d6-4ad9-a00c-c47c7a3cfadd.SHTFDBEMPBM93VT5.SEARCH&ssid=iww2ro5g9c0000001591425131571&qH=c898b17e35b9f66c
