product_name,actual_price,discounted_price,product_link
"Go Cheese Plain Spread, 200g (soft and creamy)",₹120.00,₹105.00,https://www.gofresh-anupam-enterprises.com/product-page/go-cheese-plain-spread-200g-soft-and-creamy
GO CHEESE CUBES 200GM,₹125.00,₹112.50,https://www.gofresh-anupam-enterprises.com/product-page/go-cheese-cubes-200gm
GO CHEESE SLICE 200GM,₹145.00,₹130.50,https://www.gofresh-anupam-enterprises.com/product-page/go-cheese-slice-200gm
"FROZEN VEG SOY CHAP, 500gm",₹150.00,₹85.00,https://www.gofresh-anupam-enterprises.com/product-page/frozen-veg-soy-chap-1kg
"Go Cheese Plain Spread, 200g (soft and creamy)",₹120.00,₹105.00,https://www.gofresh-anupam-enterprises.com/product-page/go-cheese-plain-spread-200g-soft-and-creamy
GO CHEESE CUBES 200GM,₹125.00,₹112.50,https://www.gofresh-anupam-enterprises.com/product-page/go-cheese-cubes-200gm
GO CHEESE SLICE 200GM,₹145.00,₹130.50,https://www.gofresh-anupam-enterprises.com/product-page/go-cheese-slice-200gm
"FROZEN VEG SOY CHAP, 500gm",₹150.00,₹85.00,https://www.gofresh-anupam-enterprises.com/product-page/frozen-veg-soy-chap-1kg
"Go Cheese Plain Spread, 200g (soft and creamy)",₹120.00,₹105.00,https://www.gofresh-anupam-enterprises.com/product-page/go-cheese-plain-spread-200g-soft-and-creamy
FROZEN PEAS (MATAR) 500GM,₹60.00,₹50.00,https://www.gofresh-anupam-enterprises.com/product-page/frozen-peas-matar-500gm
FROZEN PEAS (MATAR) 1KG,₹120.00,₹90.00,https://www.gofresh-anupam-enterprises.com/product-page/frozen-peas-matar-1kg
AMERICAN SWEET CORN 1KG,₹200.00,₹120.00,https://www.gofresh-anupam-enterprises.com/product-page/american-sweet-corn-1kg
"FROZEN VEG SOY CHAP, 500gm",₹150.00,₹85.00,https://www.gofresh-anupam-enterprises.com/product-page/frozen-veg-soy-chap-1kg
FROZEN MIX VEGETABLES 500gm PACKET,₹120.00,₹60.00,https://www.gofresh-anupam-enterprises.com/product-page/frozen-mix-vegetables-1kg-packet
Paneer 250gm,₹90.00,₹60.00,https://www.gofresh-anupam-enterprises.com/product-page/paneer-250gm
"McCain Aloo Tikki Patty, 400g (Regular Pack)",₹185.00,₹85.00,https://www.gofresh-anupam-enterprises.com/product-page/mccain-aloo-tikki-patty-400g-regular-pack
"McCain Smiles, 750 (Value pack)",₹140.00,₹175.00,https://www.gofresh-anupam-enterprises.com/product-page/mccain-smiles-750-value-pack
"McCain Variety Smiles, Chilly, Garlic, Bytes and Masala Fries - Trial Pack 550g",₹110.00,₹133.00,https://www.gofresh-anupam-enterprises.com/product-page/mccain-variety-smiles-chilly-garlic-bytes-and-masala-fries-trial-pack-550g
"McCain Veggie Finger, 400gm (Regular Pack)",₹190.00,₹104.00,https://www.gofresh-anupam-enterprises.com/product-page/mccain-veggie-finger-400gm-regular-pack
"McCain Potato Cheese Shotz, 400g (Regular Pack)",₹110.00,₹180.00,https://www.gofresh-anupam-enterprises.com/product-page/mccain-potato-cheese-shotz-400g-regular-pack
"McCain Smiles, 415gm (Regular Pack",₹115.00,₹104.00,https://www.gofresh-anupam-enterprises.com/product-page/mccain-smiles-415gm-regular-pack
"McCain Veggie Nuggets, 325g",₹190.00,₹109.00,https://www.gofresh-anupam-enterprises.com/product-page/mccain-veggie-nuggets-325g
"McCain Cheese Corn Samosa, 540gm",₹165.00,₹182.00,https://www.gofresh-anupam-enterprises.com/product-page/mccain-cheese-corn-samosa-240gm
"McCain French Fries Regular Pack, 750gm",₹95.00,₹156.00,https://www.gofresh-anupam-enterprises.com/product-page/mccain-french-fries-regular-pack-750gm
"McCain French Fries Regular Pack, 420g",₹175.00,₹90.00,https://www.gofresh-anupam-enterprises.com/product-page/mccain-french-fries-regular-pack-420g
"Del Monte Food Craft Penne Pasta, 1kg",₹175.00,₹160.00,https://www.gofresh-anupam-enterprises.com/product-page/del-monte-food-craft-penne-pasta-1kg
"Del Monte Pasta, Fusilli,1kg",₹175.00,₹160.00,https://www.gofresh-anupam-enterprises.com/product-page/del-monte-pasta-fusilli-1kg
"Del Monte Elbow Pasta (Macaroni), 1kg",₹120.00,₹160.00,https://www.gofresh-anupam-enterprises.com/product-page/del-monte-elbow-pasta-macaroni-1kg
"Parle G biscuits, 65gm (pack of 24)",₹60.00,₹117.00,https://www.gofresh-anupam-enterprises.com/product-page/parle-g-biscuits-65gm-pack-of-24
"Parle Monaco Cheeslings, Classic, 150gm",₹120.00,₹58.00,https://www.gofresh-anupam-enterprises.com/product-page/parle-monaco-cheeslings-classic-150gm
"Parle Milano Choco Delight Centre Filled Cookies, 250gm",₹25.00,₹115.00,https://www.gofresh-anupam-enterprises.com/product-page/parle-milano-choco-delight-centre-filled-cookies-250gm
"Parle Krackjack Biscuits, 75gm",₹70.00,₹10.00,https://www.gofresh-anupam-enterprises.com/product-page/parle-krackjack-biscuits-75gm
"Parle- G Gold, 200gm",₹30.00,₹24.00,https://www.gofresh-anupam-enterprises.com/product-page/parle-g-gold-200gm
"Parle G Glucose Biscuits,800gm",,₹68.00,https://www.gofresh-anupam-enterprises.com/product-page/parle-g-glucose-biscuits-800gm
"Parle Hide and Seek Chocolate Chip Cookies, 120gm",,₹29.00,https://www.gofresh-anupam-enterprises.com/product-page/parle-hide-and-seek-chocolate-chip-cookies-120gm
"Parle Rusk, Elaichi, 200gm",,₹30.00,https://www.gofresh-anupam-enterprises.com/product-page/parle-rusk-elaichi-200gm
